,human_baseline_summaries,original_model_summaries,peft_model_summaries
0,Ms. Dawson helps #Person1# to write a memo to inform every employee that they have to change the communication method and should not use Instant Messaging anymore.,#Person1#: I need to take a dictation for you.,Ms. Dawson takes a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# that all office communications are restricted to email correspondence and official memos. #Person1# wants to change the communication methods and asks Ms. Dawson to get the memo typed up and distributed to all employees before 4 pm.
1,"In order to prevent employees from wasting time on Instant Message programs, #Person1# decides to terminate the use of those programs and asks Ms. Dawson to send out a memo to all employees by the afternoon.",#Person1#: I need to take a dictation for you.,Ms. Dawson takes a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# that all office communications are restricted to email correspondence and official memos. #Person1# wants to change the communication methods and asks Ms. Dawson to get the memo typed up and distributed to all employees before 4 pm.
2,Ms. Dawson takes a dictation for #Person1# about prohibiting the use of Instant Message programs in the office. They argue about its reasonability but #Person1# still insists.,#Person1#: I need to take a dictation for you.,Ms. Dawson takes a dictation to all employees by this afternoon. Ms. Dawson tells #Person1# that all office communications are restricted to email correspondence and official memos. #Person1# wants to change the communication methods and asks Ms. Dawson to get the memo typed up and distributed to all employees before 4 pm.
3,#Person2# arrives late because of traffic jam. #Person1# persuades #Person2# to use public transportations to keep healthy and to protect the environment.,The traffic jam at the Carrefour intersection is a problem.,#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work and #Person2# will miss having the freedom that #Person2# has with a car. #Person1# suggests biking to work when it's nicer outside.
4,#Person2# decides to follow #Person1#'s suggestions on quitting driving to work and will try to use public transportations.,The traffic jam at the Carrefour intersection is a problem.,#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work and #Person2# will miss having the freedom that #Person2# has with a car. #Person1# suggests biking to work when it's nicer outside.
5,"#Person2# complains to #Person1# about the traffic jam, #Person1# suggests quitting driving and taking public transportation instead.",The traffic jam at the Carrefour intersection is a problem.,#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work and #Person2# will miss having the freedom that #Person2# has with a car. #Person1# suggests biking to work when it's nicer outside.
6,#Person1# tells Kate that Masha and Hero get divorced. Kate is surprised because she thought they are perfect couple.,Masha and Hero are getting divorced.,Kate tells Kate Masha and Hero are getting divorced. Kate thinks it's surprising and thinks it's a change from all the back stepping.
7,#Person1# tells Kate that Masha and Hero are getting a peaceful divorce. Kate feels surprised and asks about their kids.,Masha and Hero are getting divorced.,Kate tells Kate Masha and Hero are getting divorced. Kate thinks it's surprising and thinks it's a change from all the back stepping.
8,#Person1# and Kate talk about the divorce between Masha and Hero. Kate feels surprised because she thought they are well matched,Masha and Hero are getting divorced.,Kate tells Kate Masha and Hero are getting divorced. Kate thinks it's surprising and thinks it's a change from all the back stepping.
9,#Person1# and Brian are at the birthday party of Brian. Brian thinks #Person1# looks great and is popular.,"#Person1#: Happy birthday, Brian. #Person2#: I'm so happy you're having a good time. #Person1#: Thank you, I'm sure you're having a good time. #Person2#: Thank you, I'm sure you're having a good time. #Person1#: Thank you, I'm sure you're having a good time. #Person2#: Thank you, I'm sure you're having a good time. #Person1#: Thank you, I'm sure you're having a good time.",Brian remembers his birthday and invites #Person1# to the party. Brian is popular with everyone and looks pretty today. #Person1# asks Brian to dance with him and they will have a drink together.
10,#Person1# attends Brian's birthday party. Brian thinks #Person1# looks great and charming.,"#Person1#: Happy birthday, Brian. #Person2#: I'm so happy you're having a good time. #Person1#: Thank you, I'm sure you're having a good time. #Person2#: Thank you, I'm sure you're having a good time. #Person1#: Thank you, I'm sure you're having a good time. #Person2#: Thank you, I'm sure you're having a good time. #Person1#: Thank you, I'm sure you're having a good time.",Brian remembers his birthday and invites #Person1# to the party. Brian is popular with everyone and looks pretty today. #Person1# asks Brian to dance with him and they will have a drink together.
